user_id,issue_id,tutor_ldap,duration_s,start_time,answered,attitude,teacher_segs,customer_segs,hits_day1,hits_min_task,hits_introtest,hits_ai_class,hits_operation_pain,hits_feedback_promise,customer_objection,min_task_phrase_1
795230401,846,zhangxinwh22,69,2026-04-26 19:14:04,True,正常对话,8,8,现在,登录,,动画,登录,,,
1133525001,847,liuzhiqiangwh,102,2026-04-25 19:03:12,True,正常对话,9,12,"今天,现在",,"入门测,测试",动画,,,,一好，妈妈就是我那会给您说的，您是不是就是说没有听得很清楚，就是我说我们今天把那个就是入门测试，做完之后还要学第一天的那个内容的，就咱们孩子。他现在有空吗？
165233530,847,dengyuanwh,60,2026-04-27 16:43:21,True,被动接收（用户极少说话）,7,7,,,,动画,,,,
361679216,847,liuzhiqiangwh,62,,True,被动接收（用户极少说话）,8,7,现在,,,课程,"怎么,在哪",,,就是咱们孩子，他现在是分配到我的班上的，他本周的学习呢，都是由我单独负责咱们孩子学习的，就是说您有不懂的，您随时都可以跟我沟通。那我这边给您来电话呢，也是想要跟
656095090,847,leibinwh,100,,True,有顾虑/拒绝(不用了),18,20,,,,课程,,,不用了,
519386322,846,wanjiajunwh,120,,True,被动接收（用户极少说话）,17,30,"今天,等会",学完,,动画,不会,,,你好，我是海豚ai学的老师，咱今天是有花九块钱购买了海豚动画学习，你还记得不？
1133647713,846,chenpengwh04,209,2026-04-27 17:23:09,True,被动接收（用户极少说话）,27,13,"今天,现在",,入门测,,不会,,,你现在是。放学了是吗。
845235624,847,guotongwh01,133,,True,有顾虑/拒绝(不想),14,27,今天,,,课程,,,不想,
483399300,846,gongfanwei,276,2026-04-29 13:43:38,True,"有顾虑/拒绝(在上班,退,不需要)",30,23,现在,"打开,学完",,"课程,动画","怎么,在哪",,"在上班,退,不需要",我知道，我知道您退了，但是没关系，我现在不是说让您花钱，因为孩子，他毕竟分到我的班上了，我也看到他这个成绩了，那么他现在有什么学习上面的需求？或者说是哪个知识点
1056619486,847,guotongwh01,154,,True,被动接收（用户极少说话）,27,13,"今天,现在",打开,,课程,怎么,,,对，然后现孩子现在是分配到我班上了，本周这学习都是由我来单独负责的，有什么不懂的，您随时跟我沟通。
210903464,846,huangjunjun,407,,True,有顾虑/拒绝(不需要),44,48,"今天,现在",学完,,动画,"不会,怎么",,不需要,是由我这个真人老师，还有ai老师的一个双师制进行学习的对标的呢，就是线下一对一的学习效果，孩子现在就是分到了我的班上。由我来负责负责他学习。
286298740,847,luchenwh02,377,2026-04-27 18:16:59,True,有顾虑/拒绝(考虑),66,36,现在,"学一下,学完",,动画,"不会,怎么",建议,考虑,好的，这个也是因为像之前因为像对吧，等到孩子大了对吧？确实学校压力也比较大，而且呢补习班现在补习班对吧？一节课，两个小时。孩子也接受不了。
840892429,847,wuyuewh08,310,,True,"有顾虑/拒绝(退,在忙,没时间)",56,48,"今天,马上,现在","完成,学完","入门测,测试",,"怎么,下载",,"退,在忙,没时间",我这边是海豚ai学的，我来给小朋友解锁一下，学习内容的之前您是在忙是吧？然后我给小朋友就是解锁好了，他今天晚上回来就可以直接学了这样的。
265219818,847,yangfengyingwh01,444,,True,"有顾虑/拒绝(退,不想)",74,75,"今天,现在","打开,完成,学完",,课程,"不会,怎么,在哪",,"退,不想",您好，就是孩子现在分到我的班上了，本周的学习都是我单独负责孩子学习的，有任何不懂的，您都可以随时跟我沟通。
621342912,847,zhuyuqiong,565,2026-04-26 16:33:30,True,有顾虑/拒绝(不想),78,53,"今天,现在","打开,完成,学一下",,"课程,动画","不会,在哪,下载",建议,不想,彤宝妈妈您好，我是海豚ai学的朱老师，宝贝，现在是分配到我的班上了，本周的学习是是由我来负责的，今天给您来电话，是想了解一下我们宝贝现在在校内的一个学习情况好吧
683829291,847,ningjie,658,2026-04-30 14:49:41,True,有顾虑/拒绝(退),75,88,,学完,,"课程,动画课,动画",怎么,反馈,退,
1133567425,846,songjiayiwh01,981,2026-04-29 13:45:36,True,有顾虑/拒绝(没时间),160,103,"今天,现在,等一下","做一下,打开,学完","入门测,测试","课程,动画课,动画","不会,怎么,卡,下载",建议,没时间,孩子们现在基本上都在学校里，像日常的一些饮食起积就不用家长去操心了，但是他一一般学习上的事情，应该你们也会去负责。目前数学，英语和物理大概在一个什么样的分数水平
329087756,847,genghongwei,712,2026-04-30 12:48:11,True,被动接收（用户极少说话）,128,62,"今天,现在","打开,进去,学完,完成,学一下","入门测,测试","课程,动画","不会,怎么,在哪",,,好好好，我现在就是要多了解一下他的这个成绩，方便根据他的一个薄弱点去给他定制，安排学习内容。
1130925292,847,huxuhuwh,601,2026-05-02 21:57:55,True,"有顾虑/拒绝(不需要,不想)",77,69,现在,"打开,进去,听一下",,动画,怎么,,"不需要,不想",我们现在不敢跟您说具体能考多少分，但是只有通过海豚的学习通过，家长还说老师这个监督。
1133581397,846,songjiayiwh01,766,2026-04-26 16:32:19,True,有顾虑/拒绝(不想),126,60,"今天,现在","打开,完成,学一节,学完",入门测,"动画课,动画","不会,怎么,卡",结果,不想,没有月考就这个学期到现在还没有考试是吧？好，那他最近一次考试这个数学和英语成绩怎么样？你跟老师说一下，我来定制。适合他学的难度。
